PortID,USACEPortName,USATradePortName
3845,"Presque Isle, MI","Presque Isle, MI"
191,"Providence, RI","Providence, RI"
172,"Provincetown, MA","Provincetown, MA"
4754,"Puget Sound Area, WA, Other Ports","Puget Sound Area, WA, Other Ports"
3207,"Put-In-Bay, OH","Put-In-Bay, OH"
704,"Queenstown, MD","Queenstown, MD"
3754,"Racine, WI","Racine, WI"
387,"Raritan River, NJ","Raritan River, NJ"
4134,"Redondo Beach, CA","Redondo Beach, CA"
4340,"Redwood City, CA","Redwood City, CA"
4350,"Richmond, CA","Richmond, CA"
737,"Richmond, VA","Richmond-Petersburg, VA"
3106,"Rochester, NY","Rochester, NY"
703,"Rock Hall, MD","Rock Hall, MD"
118,"Rockland, ME","Rockland, ME"
142,"Rockport, MA","Rockport, MA"
117,"Rockport, ME","Rockport, ME"
2412,"Rockport, TX","Rockport, TX"
3635,"Rogers City, MI","Rogers City, MI"
503,"Rondout, NY","Rondout, NY"
2268,"Rosedale, MS","Rosedale, MS"
3315,"Rouge River, MI","Rouge River, MI"
214,"Rouses Point, NY","Champlain-Rouses Point, NY"
138,"Rye, NH","Rye, NH"
3114,"Sackets Harbor, NY","Sackets Harbor, NY"
4240,"Sacramento, CA","Sacramento, CA"
531,"Sag Harbor, NY","Sag Harbor, NY"
3603,"Saginaw River, MI","Saginaw-Bay City, MI"
188,"Sakonnet, RI","Sakonnet, RI"
146,"Salem, MA","Salem, MA"
4100,"San Diego, CA","San Diego, CA"
4389,"San Francisco Bay Area, CA, Other Ports","San Francisco Bay Area, CA, Other Ports"
4335,"San Francisco, CA","San Francisco, CA"
2136,"San Juan, PR","San Juan, PR"
4385,"San Leandro Marina, CA","San Leandro Marina, CA"
3213,"Sandusky, OH","Sandusky, OH"
1275,"Sandy Bay, Cape Ann, MA Harbor of Refuge","Sandy Bay, Cape Ann, MA Harbor of Refuge"
374,"Sandy Hook Bay at Leonardo, NJ","Sandy Hook Bay at Leonardo, NJ"
1276,"Sandy Hook Bay, NJ","Sandy Hook Bay, NJ"
373,"Sandy Hook Bay, NJ (Nonproject)","Sandy Hook Bay, NJ (Nonproject)"
4136,"Santa Barbara, CA","Santa Barbara, CA"
4396,"Santa Cruz, CA","Santa Cruz, CA"
3731,"Saugatuck, MI","Saugatuck, MI"
504,"Saugerties, NY","Saugerties, NY"
3817,"Sault Ste Marie, MI","Sault Ste Marie, MI"
776,"Savannah, GA","Savannah, GA"
557,"Schuylkill River, PA","Schuylkill River, PA"
167,"Scituate, MA","Scituate, MA"
112,"Searsport, ME","Searsport, ME"
4722,"Seattle, WA","Seattle, WA"
3636,"Sebewaing, MI","Sebewaing, MI"
4842,"Seldovia, AK","Seldovia, AK"
7710,"Seneca, IL","Seneca, IL"
4930,"Seward, AK","Seward, AK"
3759,"Sheboygan, WI","Sheboygan, WI"
366,"Sheepshead Bay, NY","Sheepshead Bay, NY"
861,"Shipyard River, SC","Shipyard River, SC"
375,"Shoal Harbor and Compton Creek, NJ","Shoal Harbor and Compton Creek, NJ"
3928,"Silver Bay, MN","Silver Bay, MN"
762,"Silver Lake Harbor, NC","Silver Lake Harbor, NC"
4808,"Sitka, AK","Sitka, AK"
4812,"Skagway, AK","Skagway, AK"
3108,"Sodus, NY","Sodus Point, NY"
123,"South Bristol, ME","South Bristol, ME"
3732,"South Haven, MI","South Haven, MI"
2253,"South Louisiana, LA, Port of","South Louisiana, LA, Port of"
2301,"Southeast Missouri Port, MO","Southeast Missouri Port, MO"
107,"Southwest Harbor, ME","Southwest Harbor, ME"
2159,"St. Augustine, FL","St. Augustine, FL"
3509,"St. Clair, MI","St. Clair, MI"
4628,"St. Helens, OR","St. Helens, OR"
3702,"St. James, MI","St. James, MI"
2185,"St. Joe Harbor, FL","St. Joe Harbor, FL"
3733,"St. Joseph, MI","St. Joseph, MI"
2310,"St. Louis, MO and IL","St. Louis, MO"
294,"St. Michaels Harbor, MD","St. Michaels Harbor, MD"
2320,"St. Paul, MN","St. Paul, MN"
2119,"St. Petersburg, FL","St. Petersburg, FL"
2143,"St. Thomas, VI","St. Thomas, VI"
317,"Stamford, CT","Stamford, CT"
4874,"Stikine River, AK","Stikine River, AK"
4270,"Stockton, CA","Stockton, CA"
111,"Stockton, ME","Stockton, ME"
3619,"Stoneport, MI","Stoneport, MI"
302,"Stonington, CT","Stonington, CT"
109,"Stonington, ME","Stonington, ME"
3775,"Sturgeon Bay, WI","Sturgeon Bay, WI"
9907,"Summary of Traffic Delaware River and Tributaries, Trenton, NJ to the Sea","Summary of Traffic Delaware River and Tributaries, Trenton, NJ to the Sea"
9906,Summary of Traffic Total Waterborne Commerce of the Port of New York,Summary of Traffic Total Waterborne Commerce of the Port of New York
3999,"Table 3-Net Summary of Foreign and Domestic Freight Carried on the Great Lakes, by type of Traffic and Commodity","Table 3-Net Summary of Foreign and Domestic Freight Carried on the Great Lakes, by type of Traffic and Commodity"
4720,"Tacoma, WA","Tacoma, WA"
3929,"Taconite, MN","Taconite, MN"
2021,"Tampa, FL","Tampa, FL"
501,"Tarrytown, NY","Tarrytown, NY"
120,"Tenants Harbor, ME","Tenants Harbor, ME"
2224,"Terrebonne, LA, Port of","Terrebonne, LA, Port of"
2404,"Texas City, TX","Texas City, TX"
121,"Thomaston, ME","Thomaston, ME"
2195,"Three Mile Creek, AL","Three Mile Creek, AL"
710,"Tilghman Island, MD","Tilghman Island, MD"
4674,"Tillamook Bay and Bar, OR","Tillamook Bay and Bar, OR"
3204,"Toledo, OH","Toledo-Sandusky, OH"
